minute,requests,active_functions,active_pods,avg_cpu,avg_memory
43600,936496,521,2531,0.19461057288868397,257.68296456647624
43601,939529,515,2545,0.19387163129501342,264.9184916160476
43602,906018,516,2576,0.2009059152886243,282.38069012953423
43603,897207,518,2550,0.2001070291715974,270.2246735059671
43604,882943,533,2565,0.20382124109027874,256.0601989226008
43605,1037272,526,2645,0.18532905125653526,243.68119625074317
43606,1058956,508,2654,0.1807934029657218,245.6631879527288
43607,1002499,506,2614,0.18639145823783596,255.8469100286692
43608,1014342,511,2598,0.18097662729235084,251.51768095054587
43609,1072598,508,2575,0.17087543998867497,245.9319406954202
43610,1057539,502,2537,0.17569358563038515,244.8520594858195
43611,1079675,506,2575,0.1712607166860154,242.49258460039
43612,981373,503,2584,0.18953858490295558,245.7185633572578
43613,1030386,517,2576,0.18177711679309538,265.06897612689704
43614,1013917,514,2570,0.18236912521730622,266.3491294523624
43615,1076481,510,2522,0.17414278068165134,262.9121025524857
43616,1177921,509,2560,0.1592863675101811,257.14819483116355
43617,1252537,514,2540,0.15382257605880623,256.7941877904535
43618,1261601,487,2517,0.15199054531421693,253.50519203187028
43619,1141135,508,2515,0.1631420246780316,260.26493133306485
43620,1261083,573,2729,0.15478883841108845,245.71739504202316
43621,1269506,519,2679,0.15495611446103771,238.48680387650296
43622,1229955,535,2594,0.15474236463443736,254.8189938122147
43623,1276730,552,2593,0.15386051496240374,254.74737591398753
43624,1206177,557,2584,0.157272392680295,257.47565707080315
43625,1214699,536,2540,0.15768247738160662,256.17701730265276
43626,1214755,565,2664,0.15770599305781338,257.7076767972987
43627,1222233,546,2580,0.15675306837480546,259.6447920222823
43628,1196284,526,2580,0.15662100014124505,260.0031037478626
43629,1211202,542,2578,0.15605242522961107,254.13266326446944
43630,1193787,524,2561,0.15952832647277215,259.62963703254917
43631,1191215,519,2551,0.15950735785810857,259.5492176496105
43632,1133296,526,2589,0.16867429171897647,265.5008585291539
43633,1192050,524,2591,0.16113719810238344,261.5860594205758
43634,1076785,493,2552,0.17615206949850007,254.33046141874365
43635,1218627,514,2653,0.16490210084869977,241.24597872470994
43636,1229667,511,2710,0.16605276264138197,240.35229998806568
43637,1117816,501,2669,0.17164814603291664,250.75223188161812
43638,1084741,495,2580,0.17533929147689745,258.9985942558632
43639,1091421,492,2534,0.17369047370532098,264.99548007391485
43640,991295,514,2573,0.1911257480426483,259.3105011130753
43641,1061307,515,2536,0.17866756003488812,260.23909830250517
43642,1082291,501,2525,0.17641343567205256,260.4483760749024
43643,996032,511,2531,0.18919841391736986,266.4018794617831
43644,1019189,533,2605,0.18516087144380555,254.4972270907112
43645,1029484,517,2576,0.18488030725969343,250.10800659069437
43646,1010982,516,2590,0.1903524127817544,260.1684654785246
43647,1012333,510,2558,0.18683392830912207,267.0472379235745
43648,1066603,497,2563,0.17924421123694115,260.52673742661347
43649,1052393,481,2476,0.17762814577059313,251.05633956682453
43650,1093294,533,2691,0.18104699066395313,252.10765464875251
43651,1183995,510,2698,0.17387908434744725,254.74780940660983
43652,1048340,536,2737,0.18111139688837677,255.63550785107336
43653,1053186,553,2679,0.17977472478646578,272.62429674302723
43654,1029166,536,2627,0.183124247993978,268.3543033104554
43655,1121810,540,2586,0.17652630361197388,246.28486420653334
43656,1025378,555,2643,0.1836991361634014,248.29389432635477
43657,1031015,517,2595,0.18438883570554035,252.00521826685824
43658,1020978,493,2583,0.1851332810951272,254.2063987288136
43659,1036351,531,2558,0.18315895054276013,268.3019954174108
43660,1018278,534,2578,0.18508999783844823,271.6944426488356
43661,1102353,521,2562,0.17777731716332454,246.53291177931808
43662,1023948,529,2568,0.18511488940741605,249.860044996136
43663,1090572,506,2514,0.17813824408837498,243.89441626056782
43664,1007620,520,2545,0.18743423399490375,249.31624669205578
43665,1042331,520,2612,0.18695752346610908,248.90810328605954
43666,1142810,518,2700,0.17607304754416184,243.8675482750976
43667,1044056,504,2685,0.18382501068997967,243.676546978126
43668,819067,502,2647,0.22991444664104813,256.2031880366867
43669,805084,496,2575,0.23182830409117117,259.3940793591305
43670,824888,498,2622,0.2282180723370214,254.77412372894324
43671,915408,508,2623,0.21507638740424323,245.99368310772704
43672,824261,505,2634,0.2299320264818185,268.2615116456435
43673,935961,513,2601,0.21322260152178452,255.2030297238725
43674,819015,518,2613,0.22980675751598767,266.7100191860181
